name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
 John Hawkes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67	 	 	 	 	 	 	 	 
Janet Gaynor	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	-5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-46	 	 	 	 	 	 	 	 	 	 	 	 	 	51	 	 	 	 	 	 
Susan Hayward	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	-36	 	 	 	 	 	 	 	 	-14	 	 	 	 	 	 	 	 	 
 Delbert Mann	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-27	 	 	 
 Ava Gardner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	52	 	-39	 	 	 	 	 	 	 	 	 	 	 	 	-27	 	 
Robert Stevenson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Ned Beatty	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-38	 	 	 	 	 	 	 	 
 John Mills	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	-4	 	 	 	 	-29	 	 	 	 	 	 	 	 	 	61	 	 	 	 	 	-12	 
 Russ Tamblyn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	7	 	 	 	 	 	 
 Toni Collette	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	 	 	 	 	 	 	 	 	 	 	38	 	 	 	 	 
 Max von Sydow	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	70	 	-55
 Walter Huston	 	 	 	 	-16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	25	-4	 	 	 	 	 	 	 	-17	-17	-17	-17	-17	26	 	-58	 	 	 	 	-37	 	 	 	 	 	 	 	 
Nina Foch	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	56	 	 	 	-32	 	 	 	-42	-42	 	22	 	 	 	 	 
Jules Dassin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	 	 	 	18	 	 	50	 
 J. Carrol Naish	 	 	0	 	-13	 	 	 	 	 	 	 	 	 	 	 	8	 	 	-14	-5	-5	 	32	28	 	 	 	25	25	 	 	-38	 	 	41	 	 	16	 	 	 	 	31	-20	 	 	 	 	 
Lana Turner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	-73	 	 
 Tuesday Weld	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-43	 	1
 Wendy Hiller	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	 	 	-23	 	 	 	 	 	 	 	 	 	-35	 	 	 	 	 	 	 	 	 	 
Alan Arkin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-8	 	 	 	 
Jim Broadbent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27	 	 	 	 	 
Jack Warden	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-21	-21	 	 	 	60	 	 	-43	 	-54	 	 
 Shelley Winters	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-53	 	 	 	 	 	 	-25	 	 	 	72	 	 
Diane Varsi	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-15	 	 	 	 
Anouk Aimee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66	66	 
Robert Loggia	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	 	 
 Richard Dreyfuss	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-19	 	 	 	 	 	 	 	 	 	 	 	7	 	 
 Don Ameche	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Carey Mulligan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54
 Rosie Perez	 	 	 	 	 	 	 	 	-13	 	 	 	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Shirley MacLaine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-50	-50	 	 
 Eva Marie Saint	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-58	-58	 	 	 	 	 	 	 
Eva Marie Saint	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	60	 	 	5	 
 Ann Sothern	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Faye Dunaway	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	 	 	 	 	 	 	 	 	 	 
Raymond Massey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Mercedes Ruehl	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 
Jason Robards	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Tom Hooper	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Shelley Winters	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	 	 	 	 	 	 	 	 	 	 	 	 
 Oskar Homolka	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-22	 	 	 	 	15	 	 	 	 	 	-15	 	 	 	 	-47	 	 	 	 	 	 	26	26	 	-1	 	 	 
 Victor McLaglen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-10	 	 	 	-4	 	 	 	 	 	-54	 	 	46	 	 	 	 	 	 	 	 	 
 Luise Rainer	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Billy Wilder	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	36	 	6	 	 	 	 	 	 	 	25	25	25	 	 	 	10	 	-51
 Susannah York	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Raymond Massey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	-1	 	 	-3	 	 	-6	 	 	 	 	 	 	 	-49	 	 	 	 	 	 
Bruce Dern	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	-62	 
Dorothy McGuire	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-34	 	 	24	 	 	 	 	 	 	 	-13	-13	 
Jean Simmons	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	58	 	 	 
 Jeff Chandler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	 	 	1	 	-9	 	-1
Celia Johnson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	-45	 	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Oprah Winfrey	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Joan Blondell	 	 	 	 	 	 	 	 	 	 	 	 	 	-1	 	 	 	 	-4	-4	-4	-14	 	 	9	 	 	-27	 	-45	 	42	 	 	 	 	 	 	 	57	 	 	 	 	 	8	 	 	 	-26
 Jennifer Lawrence	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Thomas Haden Church	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
